Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Allen_Brain_Atlas_10x_scRNA_2021	Mouse 356 Astro up	3/72	8.575413e-05	4.973739e-03	0	0	4.121532e+01	3.859414e+02	PNPLA7;TPRKB;SAT1
Allen_Brain_Atlas_10x_scRNA_2021	Mouse 358 Astro up	3/100	2.274364e-04	6.595656e-03	0	0	2.927688e+01	2.455932e+02	TPRKB;SAT1;CNN3
Allen_Brain_Atlas_10x_scRNA_2021	Mouse 378 Micro up	2/72	3.351140e-03	5.435727e-02	0	0	2.585195e+01	1.473162e+02	PNPLA7;SAT1
Allen_Brain_Atlas_10x_scRNA_2021	Human Exc L6 FEZF2 POGK up	3/264	3.748777e-03	5.435727e-02	0	0	1.079091e+01	6.028156e+01	PNPLA7;CEP128;CNN3
Allen_Brain_Atlas_10x_scRNA_2021	Mouse 377 Micro up	2/98	6.114406e-03	7.092711e-02	0	0	1.882576e+01	9.595691e+01	PNPLA7;SAT1
Allen_Brain_Atlas_10x_scRNA_2021	Mouse 46 Vip up	1/14	1.667483e-02	1.342560e-01	0	0	6.676589e+01	2.733299e+02	BCAR3
Allen_Brain_Atlas_10x_scRNA_2021	Human Inh L2 VIP SLC6A16 up	1/15	1.785564e-02	1.342560e-01	0	0	6.199379e+01	2.495520e+02	BCAR3
Allen_Brain_Atlas_10x_scRNA_2021	Human Exc L6 FEZF2 KLK7 up	2/175	1.851807e-02	1.342560e-01	0	0	1.040620e+01	4.151042e+01	PNPLA7;CNN3
Allen_Brain_Atlas_10x_scRNA_2021	Human VLMC L1-5 PDGFRA COLEC12 up	1/30	3.540559e-02	2.187919e-01	0	0	2.990555e+01	9.991101e+01	PRRX1
Allen_Brain_Atlas_10x_scRNA_2021	Mouse 357 Astro up	1/32	3.772275e-02	2.187919e-01	0	0	2.797335e+01	9.168244e+01	CNN3
Allen_Brain_Atlas_10x_scRNA_2021	Mouse 355 V3d up	2/327	5.808154e-02	2.929140e-01	0	0	5.496783e+00	1.564334e+01	DDAH1;PNPLA7
Allen_Brain_Atlas_10x_scRNA_2021	Human OPC L1-6 PDGFRA COL20A1 up	1/52	6.060289e-02	2.929140e-01	0	0	1.698636e+01	4.761978e+01	PRRX1
Allen_Brain_Atlas_10x_scRNA_2021	Mouse 379 PVM up	1/83	9.503992e-02	4.240243e-01	0	0	1.054825e+01	2.482487e+01	SAT1
Allen_Brain_Atlas_10x_scRNA_2021	Human Inh L3-6 PAX6 LINC01497 up	1/106	1.198047e-01	4.714518e-01	0	0	8.228157e+00	1.745926e+01	CEP128
Allen_Brain_Atlas_10x_scRNA_2021	Mouse 22 Ndnf HPF up	1/108	1.219272e-01	4.714518e-01	0	0	8.073547e+00	1.698942e+01	PNPLA7
Allen_Brain_Atlas_10x_scRNA_2021	Mouse 376 VLMC up	1/120	1.345595e-01	4.874870e-01	0	0	7.255024e+00	1.455175e+01	NOTCH2
Allen_Brain_Atlas_10x_scRNA_2021	Human Inh L1-2 VIP SCML4 up	1/128	1.428841e-01	4.874870e-01	0	0	6.795276e+00	1.322171e+01	BCAR3
Allen_Brain_Atlas_10x_scRNA_2021	Mouse 369 Endo up	1/138	1.531820e-01	4.935864e-01	0	0	6.296096e+00	1.181229e+01	IRAK2
