Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	positive regulation of cellular biosynthetic process (GO:0031328)	7/180	1.075243e-05	8.064323e-03	0	0	1.037467e+01	1.186902e+02	PDGFRB;BCAR3;DDAH1;ELOVL5;LDLR;GPLD1;GLI2
GO_Biological_Process_2021	positive regulation of phospholipase activity (GO:0010518)	3/24	1.357178e-04	5.089417e-02	0	0	3.508818e+01	3.124579e+02	PDGFRB;GNA13;FGFR1
GO_Biological_Process_2021	positive regulation of lipid biosynthetic process (GO:0046889)	3/35	4.244898e-04	1.061224e-01	0	0	2.301389e+01	1.786942e+02	ELOVL5;LDLR;GPLD1
GO_Biological_Process_2021	cellular response to cholesterol (GO:0071397)	2/11	9.353739e-04	1.099426e-01	0	0	5.394851e+01	3.762673e+02	MLC1;GPLD1
GO_Biological_Process_2021	positive regulation of triglyceride biosynthetic process (GO:0010867)	2/11	9.353739e-04	1.099426e-01	0	0	5.394851e+01	3.762673e+02	LDLR;GPLD1
GO_Biological_Process_2021	C-terminal protein amino acid modification (GO:0018410)	2/12	1.119390e-03	1.099426e-01	0	0	4.855122e+01	3.299041e+02	FOLH1;GPLD1
GO_Biological_Process_2021	hemidesmosome assembly (GO:0031581)	2/12	1.119390e-03	1.099426e-01	0	0	4.855122e+01	3.299041e+02	LAMA3;ITGA6
GO_Biological_Process_2021	inositol lipid-mediated signaling (GO:0048017)	3/51	1.286895e-03	1.099426e-01	0	0	1.533025e+01	1.020308e+02	PDGFRB;PLCD4;FGFR1
GO_Biological_Process_2021	positive regulation of fatty acid biosynthetic process (GO:0045723)	2/13	1.319312e-03	1.099426e-01	0	0	4.413525e+01	2.926452e+02	ABCD2;ELOVL5
GO_Biological_Process_2021	regulation of triglyceride biosynthetic process (GO:0010866)	2/15	1.766337e-03	1.204321e-01	0	0	3.734146e+01	2.367018e+02	LDLR;GPLD1
GO_Biological_Process_2021	regulation of phospholipase C activity (GO:1900274)	2/15	1.766337e-03	1.204321e-01	0	0	3.734146e+01	2.367018e+02	PDGFRB;FGFR1
GO_Biological_Process_2021	cellular response to sterol (GO:0036315)	2/16	2.013176e-03	1.258235e-01	0	0	3.467247e+01	2.152482e+02	MLC1;GPLD1
GO_Biological_Process_2021	positive regulation of DNA replication (GO:0045740)	2/17	2.275391e-03	1.312726e-01	0	0	3.235935e+01	1.969262e+02	BCAR3;GLI2
GO_Biological_Process_2021	response to cholesterol (GO:0070723)	2/19	2.845427e-03	1.422714e-01	0	0	2.854950e+01	1.673584e+02	MLC1;GPLD1
GO_Biological_Process_2021	positive regulation of triglyceride metabolic process (GO:0090208)	2/19	2.845427e-03	1.422714e-01	0	0	2.854950e+01	1.673584e+02	LDLR;GPLD1
GO_Biological_Process_2021	phosphatidylinositol-mediated signaling (GO:0048015)	3/71	3.325394e-03	1.533270e-01	0	0	1.081046e+01	6.168628e+01	PDGFRB;PLCD4;FGFR1
GO_Biological_Process_2021	positive regulation of phosphatase activity (GO:0010922)	2/21	3.475412e-03	1.533270e-01	0	0	2.554172e+01	1.446183e+02	PDGFRB;GPLD1
GO_Biological_Process_2021	positive regulation of phosphorylation (GO:0042327)	5/253	4.268963e-03	1.778735e-01	0	0	5.019396e+00	2.738775e+01	PDGFRB;CCND3;ITGA6;FAM20A;FGFR1
GO_Biological_Process_2021	glycerophospholipid metabolic process (GO:0006650)	3/80	4.652678e-03	1.836584e-01	0	0	9.542569e+00	5.124657e+01	PDGFRB;PRDX6;GPLD1
GO_Biological_Process_2021	cardiac conduction system development (GO:0003161)	2/25	4.911156e-03	1.841684e-01	0	0	2.109544e+01	1.121485e+02	NOTCH2;GJB6
GO_Biological_Process_2021	vascular transport (GO:0010232)	3/84	5.331483e-03	1.861299e-01	0	0	9.069502e+00	4.747091e+01	SLCO1C1;SLC15A2;SLC7A2
GO_Biological_Process_2021	transport across blood-brain barrier (GO:0150104)	3/86	5.692035e-03	1.861299e-01	0	0	8.850067e+00	4.574323e+01	SLCO1C1;SLC15A2;SLC7A2
GO_Biological_Process_2021	cytoplasmic pattern recognition receptor signaling pathway (GO:0002753)	2/27	5.714912e-03	1.861299e-01	0	0	1.940585e+01	1.002250e+02	IRAK2;ALPK1
GO_Biological_Process_2021	regulation of extrinsic apoptotic signaling pathway in absence of ligand (GO:2001239)	2/28	6.137828e-03	1.861299e-01	0	0	1.865854e+01	9.503323e+01	EYA1;FGFR1
GO_Biological_Process_2021	actin filament polymerization (GO:0030041)	2/29	6.574607e-03	1.861299e-01	0	0	1.796658e+01	9.027379e+01	DIAPH3;FAM107A
GO_Biological_Process_2021	regulation of actin cytoskeleton organization (GO:0032956)	3/91	6.656320e-03	1.861299e-01	0	0	8.345118e+00	4.182730e+01	PDGFRB;NOTCH2;FAM107A
GO_Biological_Process_2021	positive regulation of small GTPase mediated signal transduction (GO:0051057)	2/30	7.025128e-03	1.861299e-01	0	0	1.732404e+01	8.589713e+01	NOTCH2;MMD2
GO_Biological_Process_2021	actin filament bundle assembly (GO:0051017)	2/33	8.457944e-03	1.861299e-01	0	0	1.564516e+01	7.466887e+01	FAM107A;SHROOM2
GO_Biological_Process_2021	actin filament bundle organization (GO:0061572)	2/33	8.457944e-03	1.861299e-01	0	0	1.564516e+01	7.466887e+01	FAM107A;SHROOM2
GO_Biological_Process_2021	very long-chain fatty acid metabolic process (GO:0000038)	2/33	8.457944e-03	1.861299e-01	0	0	1.564516e+01	7.466887e+01	ABCD2;ELOVL5
GO_Biological_Process_2021	cell-substrate junction assembly (GO:0007044)	2/34	8.962237e-03	1.861299e-01	0	0	1.515549e+01	7.145411e+01	LAMA3;ITGA6
GO_Biological_Process_2021	positive regulation of protein serine/threonine kinase activity (GO:0071902)	3/106	1.010630e-02	1.861299e-01	0	0	7.124416e+00	3.273381e+01	PDGFRB;CCND3;FGFR1
GO_Biological_Process_2021	axon guidance (GO:0007411)	4/203	1.057341e-02	1.861299e-01	0	0	4.954020e+00	2.253788e+01	NOTCH2;PALLD;LAMA3;GLI2
GO_Biological_Process_2021	lipid transport (GO:0006869)	3/109	1.089946e-02	1.861299e-01	0	0	6.921733e+00	3.127960e+01	SLCO1C1;ABCD2;LDLR
GO_Biological_Process_2021	positive regulation of kinase activity (GO:0033674)	3/114	1.229954e-02	1.861299e-01	0	0	6.608275e+00	2.906447e+01	PDGFRB;MMD2;FGFR1
GO_Biological_Process_2021	JNK cascade (GO:0007254)	2/41	1.285395e-02	1.861299e-01	0	0	1.243089e+01	5.412541e+01	IRAK2;TNFRSF19
GO_Biological_Process_2021	positive regulation of neuron differentiation (GO:0045666)	2/43	1.407869e-02	1.861299e-01	0	0	1.182332e+01	5.040391e+01	MMD2;FGFR1
GO_Biological_Process_2021	positive regulation of phospholipase C activity (GO:0010863)	2/43	1.407869e-02	1.861299e-01	0	0	1.182332e+01	5.040391e+01	PDGFRB;FGFR1
GO_Biological_Process_2021	myofibril assembly (GO:0030239)	2/43	1.407869e-02	1.861299e-01	0	0	1.182332e+01	5.040391e+01	PDGFRB;CSRP1
GO_Biological_Process_2021	cytoskeleton organization (GO:0007010)	3/120	1.410996e-02	1.861299e-01	0	0	6.267490e+00	2.670498e+01	FGD6;DIAPH3;PALLD
GO_Biological_Process_2021	alpha-amino acid metabolic process (GO:1901605)	2/46	1.600645e-02	1.861299e-01	0	0	1.101552e+01	4.554657e+01	FOLH1;DDAH1
GO_Biological_Process_2021	positive regulation of macromolecule biosynthetic process (GO:0010557)	3/129	1.709533e-02	1.861299e-01	0	0	5.817166e+00	2.366976e+01	PDGFRB;BCAR3;GLI2
GO_Biological_Process_2021	cellular response to alcohol (GO:0097306)	2/48	1.735079e-02	1.861299e-01	0	0	1.053552e+01	4.271226e+01	MLC1;GPLD1
