Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2021	focal adhesion (GO:0005925)	11/387	6.479243e-07	3.554394e-05	0	0	7.830807e+00	1.115850e+02	PDGFRB;BCAR3;GNA13;CSRP1;PALLD;TSPAN9;SYNPO2;FAM107A;ITGA6;SHROOM4;CNN3
GO_Cellular_Component_2021	cell-substrate junction (GO:0030055)	11/394	7.726943e-07	3.554394e-05	0	0	7.684932e+00	1.081530e+02	PDGFRB;BCAR3;GNA13;CSRP1;PALLD;TSPAN9;SYNPO2;FAM107A;ITGA6;SHROOM4;CNN3
GO_Cellular_Component_2021	actin cytoskeleton (GO:0015629)	7/316	3.681037e-04	1.128851e-02	0	0	5.768461e+00	4.561207e+01	PALLD;SYNPO2;GJB6;SHROOM2;FAM107A;SHROOM4;CNN3
GO_Cellular_Component_2021	actin filament (GO:0005884)	3/72	3.459557e-03	7.956981e-02	0	0	1.065325e+01	6.036785e+01	PALLD;GJB6;SHROOM4
GO_Cellular_Component_2021	cortical actin cytoskeleton (GO:0030864)	2/42	1.346020e-02	2.327289e-01	0	0	1.211951e+01	5.221108e+01	SHROOM2;SHROOM4
GO_Cellular_Component_2021	lysosome (GO:0005764)	6/477	1.517797e-02	2.327289e-01	0	0	3.175731e+00	1.329968e+01	BCAN;SDC4;CPQ;MLC1;LDLR;GPLD1
GO_Cellular_Component_2021	adherens junction (GO:0005912)	3/132	1.816295e-02	2.387131e-01	0	0	5.681022e+00	2.277165e+01	SHROOM2;SHROOM4;CNN3
GO_Cellular_Component_2021	cortical cytoskeleton (GO:0030863)	2/58	2.475041e-02	2.516666e-01	0	0	8.649826e+00	3.199496e+01	SHROOM2;SHROOM4
GO_Cellular_Component_2021	basolateral plasma membrane (GO:0016323)	3/151	2.577242e-02	2.516666e-01	0	0	4.946947e+00	1.809816e+01	SLCO1C1;MLC1;LDLR
GO_Cellular_Component_2021	cell-cell junction (GO:0005911)	4/271	2.735506e-02	2.516666e-01	0	0	3.679588e+00	1.324230e+01	GJB6;SHROOM2;SHROOM4;CNN3
GO_Cellular_Component_2021	vacuolar lumen (GO:0005775)	3/161	3.036593e-02	2.539696e-01	0	0	4.631505e+00	1.618449e+01	BCAN;SDC4;PRDX6
GO_Cellular_Component_2021	cytoskeleton (GO:0005856)	6/600	4.046249e-02	2.806439e-01	0	0	2.502202e+00	8.025511e+00	PALLD;SYNPO2;SHROOM2;FAM107A;SHROOM4;CNN3
GO_Cellular_Component_2021	clathrin-coated vesicle (GO:0030136)	2/80	4.460555e-02	2.806439e-01	0	0	6.203252e+00	1.929147e+01	MLC1;STON2
GO_Cellular_Component_2021	plasma membrane raft (GO:0044853)	2/82	4.662855e-02	2.806439e-01	0	0	6.047561e+00	1.853905e+01	MLC1;LRP4
GO_Cellular_Component_2021	coated vesicle (GO:0030135)	2/84	4.868477e-02	2.806439e-01	0	0	5.899465e+00	1.783048e+01	MLC1;STON2
GO_Cellular_Component_2021	lysosomal lumen (GO:0043202)	2/86	5.077354e-02	2.806439e-01	0	0	5.758420e+00	1.716228e+01	BCAN;SDC4
GO_Cellular_Component_2021	spanning component of plasma membrane (GO:0044214)	1/13	5.326038e-02	2.806439e-01	0	0	1.998394e+01	5.860414e+01	SLC15A2
GO_Cellular_Component_2021	platelet dense granule lumen (GO:0031089)	1/14	5.723927e-02	2.806439e-01	0	0	1.844578e+01	5.276444e+01	SELENOP
GO_Cellular_Component_2021	apical junction complex (GO:0043296)	2/98	6.395230e-02	2.806439e-01	0	0	5.035569e+00	1.384589e+01	SHROOM2;SHROOM4
GO_Cellular_Component_2021	lytic vacuole (GO:0000323)	3/219	6.476476e-02	2.806439e-01	0	0	3.377915e+00	9.245332e+00	CPQ;MLC1;LDLR
GO_Cellular_Component_2021	Golgi lumen (GO:0005796)	2/100	6.625044e-02	2.806439e-01	0	0	4.932305e+00	1.338782e+01	BCAN;SDC4
GO_Cellular_Component_2021	endolysosome membrane (GO:0036020)	1/17	6.907705e-02	2.806439e-01	0	0	1.498494e+01	4.004774e+01	LDLR
GO_Cellular_Component_2021	spanning component of membrane (GO:0089717)	1/20	8.076794e-02	2.806439e-01	0	0	1.261699e+01	3.174657e+01	SLC15A2
GO_Cellular_Component_2021	integral component of plasma membrane (GO:0005887)	10/1454	8.310569e-02	2.806439e-01	0	0	1.728682e+00	4.300341e+00	PDGFRB;SLCO1C1;NOTCH2;FOLH1;SLC15A2;SDC4;TSPAN9;LDLR;SLC7A2;FGFR1
GO_Cellular_Component_2021	connexin complex (GO:0005922)	1/21	8.463257e-02	2.806439e-01	0	0	1.198554e+01	2.959753e+01	GJB6
GO_Cellular_Component_2021	platelet dense granule (GO:0042827)	1/21	8.463257e-02	2.806439e-01	0	0	1.198554e+01	2.959753e+01	SELENOP
GO_Cellular_Component_2021	polymeric cytoskeletal fiber (GO:0099513)	3/256	9.306998e-02	2.806439e-01	0	0	2.878495e+00	6.834709e+00	PALLD;GJB6;SHROOM4
GO_Cellular_Component_2021	gap junction (GO:0005921)	1/24	9.613040e-02	2.806439e-01	0	0	1.042064e+01	2.440565e+01	GJB6
GO_Cellular_Component_2021	mitochondrial outer membrane (GO:0005741)	2/126	9.840431e-02	2.806439e-01	0	0	3.892998e+00	9.026579e+00	MAOB;GPAM
GO_Cellular_Component_2021	mitochondrial envelope (GO:0005740)	2/127	9.971632e-02	2.806439e-01	0	0	3.861659e+00	8.902768e+00	MAOB;GPAM
GO_Cellular_Component_2021	endolysosome (GO:0036019)	1/25	9.993120e-02	2.806439e-01	0	0	9.985944e+00	2.300036e+01	LDLR
GO_Cellular_Component_2021	excitatory synapse (GO:0060076)	1/25	9.993120e-02	2.806439e-01	0	0	9.985944e+00	2.300036e+01	PALLD
GO_Cellular_Component_2021	early endosome (GO:0005769)	3/266	1.014723e-01	2.806439e-01	0	0	2.767638e+00	6.332272e+00	ATP13A4;MLC1;LDLR
GO_Cellular_Component_2021	synaptic membrane (GO:0097060)	1/26	1.037162e-01	2.806439e-01	0	0	9.586024e+00	2.172286e+01	LRP4
GO_Cellular_Component_2021	cyclin-dependent protein kinase holoenzyme complex (GO:0000307)	1/30	1.186996e-01	3.065553e-01	0	0	8.262152e+00	1.760796e+01	CCND3
GO_Cellular_Component_2021	organelle outer membrane (GO:0031968)	2/142	1.199564e-01	3.065553e-01	0	0	3.445296e+00	7.306187e+00	MAOB;GPAM
GO_Cellular_Component_2021	recycling endosome (GO:0055037)	2/145	1.241201e-01	3.086230e-01	0	0	3.372506e+00	7.036751e+00	ATP13A4;MLC1
GO_Cellular_Component_2021	heterotrimeric G-protein complex (GO:0005834)	1/33	1.297745e-01	3.131840e-01	0	0	7.486446e+00	1.528700e+01	GNA13
GO_Cellular_Component_2021	serine/threonine protein kinase complex (GO:1902554)	1/37	1.443274e-01	3.131840e-01	0	0	6.653280e+00	1.287856e+01	CCND3
GO_Cellular_Component_2021	brush border membrane (GO:0031526)	1/37	1.443274e-01	3.131840e-01	0	0	6.653280e+00	1.287856e+01	GNA13
GO_Cellular_Component_2021	intracellular organelle lumen (GO:0070013)	6/848	1.459307e-01	3.131840e-01	0	0	1.742554e+00	3.353761e+00	BCAN;EVA1A;SDC4;AGL;ADHFE1;ETNPPL
GO_Cellular_Component_2021	secretory granule lumen (GO:0034774)	3/316	1.475933e-01	3.131840e-01	0	0	2.319607e+00	4.438092e+00	AGL;SELENOP;PRDX6
GO_Cellular_Component_2021	neuromuscular junction (GO:0031594)	1/38	1.479279e-01	3.131840e-01	0	0	6.473136e+00	1.237036e+01	LRP4
GO_Cellular_Component_2021	membrane raft (GO:0045121)	2/163	1.497837e-01	3.131840e-01	0	0	2.992728e+00	5.681884e+00	LRP4;MLC1
GO_Cellular_Component_2021	endosome membrane (GO:0010008)	3/325	1.565311e-01	3.200191e-01	0	0	2.253738e+00	4.179559e+00	IRAK2;ATP13A4;LDLR
GO_Cellular_Component_2021	endoplasmic reticulum membrane (GO:0005789)	5/712	1.796436e-01	3.592872e-01	0	0	1.719603e+00	2.952181e+00	NOTCH2;NSDHL;ELOVL5;LPCAT3;PLCD4
GO_Cellular_Component_2021	late endosome (GO:0005770)	2/189	1.884606e-01	3.683176e-01	0	0	2.573236e+00	4.294387e+00	ATP13A4;LDLR
GO_Cellular_Component_2021	microbody membrane (GO:0031903)	1/52	1.967903e-01	3.683176e-01	0	0	4.692889e+00	7.628837e+00	ABCD2
GO_Cellular_Component_2021	basement membrane (GO:0005604)	1/52	1.967903e-01	3.683176e-01	0	0	4.692889e+00	7.628837e+00	LAMA3
GO_Cellular_Component_2021	peroxisomal membrane (GO:0005778)	1/53	2.001726e-01	3.683176e-01	0	0	4.602410e+00	7.403322e+00	ABCD2
GO_Cellular_Component_2021	cytoplasmic side of plasma membrane (GO:0009898)	1/55	2.068950e-01	3.732223e-01	0	0	4.431504e+00	6.982029e+00	SHROOM4
