Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2021	1-acylglycerophosphocholine O-acyltransferase activity (GO:0047184)	2/6	2.586086e-04	1.777784e-02	0	0	1.214146e+02	1.002909e+03	LPCAT3;PRDX6
GO_Molecular_Function_2021	O-acyltransferase activity (GO:0008374)	3/30	2.673359e-04	1.777784e-02	0	0	2.728258e+01	2.244539e+02	GPAM;LPCAT3;PRDX6
GO_Molecular_Function_2021	muscle alpha-actinin binding (GO:0051371)	2/15	1.766337e-03	7.830761e-02	0	0	3.734146e+01	2.367018e+02	PALLD;SYNPO2
GO_Molecular_Function_2021	actinin binding (GO:0042805)	2/21	3.475412e-03	9.567999e-02	0	0	2.554172e+01	1.446183e+02	CSRP1;SYNPO2
GO_Molecular_Function_2021	phospholipase activity (GO:0004620)	3/73	3.596992e-03	9.567999e-02	0	0	1.050053e+01	5.909338e+01	PNPLA7;PRDX6;GPLD1
GO_Molecular_Function_2021	alpha-actinin binding (GO:0051393)	2/24	4.530563e-03	1.004275e-01	0	0	2.205543e+01	1.190312e+02	PALLD;SYNPO2
GO_Molecular_Function_2021	cell-cell adhesion mediator activity (GO:0098632)	2/42	1.346020e-02	1.705071e-01	0	0	1.211951e+01	5.221108e+01	PALLD;CNN3
GO_Molecular_Function_2021	oligopeptide transmembrane transporter activity (GO:0035673)	1/5	2.082625e-02	1.705071e-01	0	0	5.997590e+01	2.321992e+02	SLC15A2
GO_Molecular_Function_2021	L-lysine transmembrane transporter activity (GO:0015189)	1/5	2.082625e-02	1.705071e-01	0	0	5.997590e+01	2.321992e+02	SLC7A2
GO_Molecular_Function_2021	L-ornithine transmembrane transporter activity (GO:0000064)	1/5	2.082625e-02	1.705071e-01	0	0	5.997590e+01	2.321992e+02	SLC7A2
GO_Molecular_Function_2021	fibroblast growth factor-activated receptor activity (GO:0005007)	1/5	2.082625e-02	1.705071e-01	0	0	5.997590e+01	2.321992e+02	FGFR1
GO_Molecular_Function_2021	neuregulin binding (GO:0038132)	1/5	2.082625e-02	1.705071e-01	0	0	5.997590e+01	2.321992e+02	ITGA6
GO_Molecular_Function_2021	metalloexopeptidase activity (GO:0008235)	2/55	2.241518e-02	1.705071e-01	0	0	9.140819e+00	3.471699e+01	FOLH1;CPQ
GO_Molecular_Function_2021	olfactory receptor binding (GO:0031849)	1/6	2.493979e-02	1.705071e-01	0	0	4.797831e+01	1.771019e+02	RTP4
GO_Molecular_Function_2021	dopamine receptor binding (GO:0050780)	1/6	2.493979e-02	1.705071e-01	0	0	4.797831e+01	1.771019e+02	GNA13
GO_Molecular_Function_2021	thyroid hormone transmembrane transporter activity (GO:0015349)	1/6	2.493979e-02	1.705071e-01	0	0	4.797831e+01	1.771019e+02	SLCO1C1
GO_Molecular_Function_2021	gap junction channel activity involved in cell communication by electrical coupling (GO:1903763)	1/6	2.493979e-02	1.705071e-01	0	0	4.797831e+01	1.771019e+02	GJB6
GO_Molecular_Function_2021	transmembrane receptor protein kinase activity (GO:0019199)	2/60	2.636011e-02	1.705071e-01	0	0	8.350715e+00	3.036239e+01	PDGFRB;FGFR1
GO_Molecular_Function_2021	transmembrane receptor protein tyrosine kinase activity (GO:0004714)	2/60	2.636011e-02	1.705071e-01	0	0	8.350715e+00	3.036239e+01	PDGFRB;FGFR1
GO_Molecular_Function_2021	peptide transmembrane transporter activity (GO:1904680)	1/7	2.903626e-02	1.705071e-01	0	0	3.997992e+01	1.414973e+02	SLC15A2
GO_Molecular_Function_2021	alcohol dehydrogenase [NAD(P)+] activity (GO:0018455)	1/7	2.903626e-02	1.705071e-01	0	0	3.997992e+01	1.414973e+02	ADHFE1
GO_Molecular_Function_2021	fatty acid elongase activity (GO:0009922)	1/7	2.903626e-02	1.705071e-01	0	0	3.997992e+01	1.414973e+02	ELOVL5
GO_Molecular_Function_2021	arginine transmembrane transporter activity (GO:0015181)	1/8	3.311572e-02	1.705071e-01	0	0	3.426678e+01	1.167725e+02	SLC7A2
GO_Molecular_Function_2021	lysophospholipid acyltransferase activity (GO:0071617)	1/8	3.311572e-02	1.705071e-01	0	0	3.426678e+01	1.167725e+02	LPCAT3
GO_Molecular_Function_2021	calcium-independent phospholipase A2 activity (GO:0047499)	1/8	3.311572e-02	1.705071e-01	0	0	3.426678e+01	1.167725e+02	PRDX6
GO_Molecular_Function_2021	clathrin heavy chain binding (GO:0032050)	1/9	3.717825e-02	1.705071e-01	0	0	2.998193e+01	9.870145e+01	LDLR
GO_Molecular_Function_2021	alcohol dehydrogenase (NAD+) activity (GO:0004022)	1/9	3.717825e-02	1.705071e-01	0	0	2.998193e+01	9.870145e+01	ADHFE1
GO_Molecular_Function_2021	dipeptidase activity (GO:0016805)	1/9	3.717825e-02	1.705071e-01	0	0	2.998193e+01	9.870145e+01	CPQ
GO_Molecular_Function_2021	tumor necrosis factor-activated receptor activity (GO:0005031)	1/9	3.717825e-02	1.705071e-01	0	0	2.998193e+01	9.870145e+01	TNFRSF19
GO_Molecular_Function_2021	ligand-gated sodium channel activity (GO:0015280)	1/10	4.122391e-02	1.719605e-01	0	0	2.664926e+01	8.497749e+01	SHROOM2
GO_Molecular_Function_2021	fatty acid synthase activity (GO:0004312)	1/10	4.122391e-02	1.719605e-01	0	0	2.664926e+01	8.497749e+01	ELOVL5
GO_Molecular_Function_2021	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines (GO:0016813)	1/11	4.525277e-02	1.719605e-01	0	0	2.398313e+01	7.423958e+01	DDAH1
